id	study_id	run_id	organism	type	descriptor	cell_type	cell_type_color	study_symbol
SRP011318_SRR438467	SRP011318	SRR438467	Mus_musculus	Pluripotent	iPSC_MEF	iPSC	#e41a1c	0
SRP011318_SRR438468	SRP011318	SRR438468	Mus_musculus	Pluripotent	iPSC_MEF	iPSC	#e41a1c	0
SRP011318_SRR438469	SRP011318	SRR438469	Mus_musculus	Pluripotent	iPSC_APC	iPSC	#e41a1c	0
SRP011318_SRR438470	SRP011318	SRR438470	Mus_musculus	Pluripotent	iPSC_APC	iPSC	#e41a1c	0
SRP011318_SRR438471	SRP011318	SRR438471	Mus_musculus	Pluripotent	iPSC_HPC	iPSC	#e41a1c	0
SRP011318_SRR438472	SRP011318	SRR438472	Mus_musculus	Pluripotent	iPSC_HPC	iPSC	#e41a1c	0
SRP011318_SRR438473	SRP011318	SRR438473	Mus_musculus	Pluripotent	iPSC_APC	iPSC	#e41a1c	0
SRP011318_SRR438474	SRP011318	SRR438474	Mus_musculus	Pluripotent	iPSC_APC	iPSC	#e41a1c	0
SRP011318_SRR438475	SRP011318	SRR438475	Mus_musculus	Pluripotent	iPSC_MEF	iPSC	#e41a1c	0
SRP011318_SRR438476	SRP011318	SRR438476	Mus_musculus	Pluripotent	iPSC_MEF	iPSC	#e41a1c	0
SRP011318_SRR438477	SRP011318	SRR438477	Mus_musculus	Pluripotent	iPSC_APC	iPSC	#e41a1c	0
SRP011318_SRR438478	SRP011318	SRR438478	Mus_musculus	Pluripotent	iPSC_APC	iPSC	#e41a1c	0
SRP011318_SRR438479	SRP011318	SRR438479	Mus_musculus	Pluripotent	iPSC_HPC	iPSC	#e41a1c	0
SRP011318_SRR438480	SRP011318	SRR438480	Mus_musculus	Pluripotent	iPSC_HPC	iPSC	#e41a1c	0
SRP011318_SRR438481	SRP011318	SRR438481	Mus_musculus	Pluripotent	iPSC_APC	iPSC	#e41a1c	0
SRP011318_SRR438482	SRP011318	SRR438482	Mus_musculus	Pluripotent	iPSC_APC	iPSC	#e41a1c	0
SRP011318_SRR438483	SRP011318	SRR438483	Mus_musculus	Differentiated	MEF	fibroblast	#377eb8	0
SRP011318_SRR438484	SRP011318	SRR438484	Mus_musculus	Differentiated	MEF	fibroblast	#377eb8	0
