id	study_id	run_id	organism	type	descriptor	type	cell_type_color
time_course_lenti_D00	time_course_lenti	MEF	mmu.GRCm38_84	differentiated	MEF	fibroblast	#479078
time_course_lenti_D01_Ctrl	time_course_lenti	D01_Ctrl	mmu.GRCm38_84	intermediate	D01_Ctrl	intermediate	#cb467e
time_course_lenti_D01_DsRed	time_course_lenti	D01_DsRed	mmu.GRCm38_84	intermediate	D01_DsRed	intermediate	#cb467e
time_course_lenti_D01_Esrp1	time_course_lenti	D01_Esrp1	mmu.GRCm38_84	intermediate	D01_Esrp1	intermediate	#cb467e
time_course_lenti_D02_Ctrl	time_course_lenti	D02_Ctrl	mmu.GRCm38_84	intermediate	D02_Ctrl	intermediate	#cb467e
time_course_lenti_D02_DsRed	time_course_lenti	D02_DsRed	mmu.GRCm38_84	intermediate	D02_DsRed	intermediate	#cb467e
time_course_lenti_D02_Esrp1	time_course_lenti	D02_Esrp1	mmu.GRCm38_84	intermediate	D02_Esrp1	intermediate	#cb467e
time_course_lenti_D03_Ctrl	time_course_lenti	D03_Ctrl	mmu.GRCm38_84	intermediate	D03_Ctrl	intermediate	#cb467e
time_course_lenti_D03_DsRed	time_course_lenti	D03_DsRed	mmu.GRCm38_84	intermediate	D03_DsRed	intermediate	#cb467e
time_course_lenti_D03_Esrp1	time_course_lenti	D03_Esrp1	mmu.GRCm38_84	intermediate	D03_Esrp1	intermediate	#cb467e
time_course_lenti_D04_Ctrl	time_course_lenti	D04_Ctrl	mmu.GRCm38_84	intermediate	D04_Ctrl	intermediate	#cb467e
time_course_lenti_D04_DsRed	time_course_lenti	D04_DsRed	mmu.GRCm38_84	intermediate	D04_DsRed	intermediate	#cb467e
time_course_lenti_D04_Esrp1	time_course_lenti	D04_Esrp1	mmu.GRCm38_84	intermediate	D04_Esrp1	intermediate	#cb467e
time_course_lenti_D05_Ctrl	time_course_lenti	D05_Ctrl	mmu.GRCm38_84	intermediate	D05_Ctrl	intermediate	#cb467e
time_course_lenti_D05_DsRed	time_course_lenti	D05_DsRed	mmu.GRCm38_84	intermediate	D05_DsRed	intermediate	#cb467e
time_course_lenti_D05_Esrp1	time_course_lenti	D05_Esrp1	mmu.GRCm38_84	intermediate	D05_Esrp1	intermediate	#cb467e
time_course_lenti_D06_Ctrl	time_course_lenti	D06_Ctrl	mmu.GRCm38_84	intermediate	D06_Ctrl	intermediate	#cb467e
time_course_lenti_D06_DsRed	time_course_lenti	D06_DsRed	mmu.GRCm38_84	intermediate	D06_DsRed	intermediate	#cb467e
time_course_lenti_D06_Esrp1	time_course_lenti	D06_Esrp1	mmu.GRCm38_84	intermediate	D06_Esrp1	intermediate	#cb467e
time_course_lenti_D07_Ctrl	time_course_lenti	D07_Ctrl	mmu.GRCm38_84	intermediate	D07_Ctrl	intermediate	#cb467e
time_course_lenti_D07_DsRed	time_course_lenti	D07_DsRed	mmu.GRCm38_84	intermediate	D07_DsRed	intermediate	#cb467e
time_course_lenti_D07_Esrp1	time_course_lenti	D07_Esrp1	mmu.GRCm38_84	intermediate	D07_Esrp1	intermediate	#cb467e
time_course_lenti_D08_Ctrl	time_course_lenti	D08_Ctrl	mmu.GRCm38_84	intermediate	D08_Ctrl	intermediate	#cb467e
time_course_lenti_D08_DsRed	time_course_lenti	D08_DsRed	mmu.GRCm38_84	intermediate	D08_DsRed	intermediate	#cb467e
time_course_lenti_D08_Esrp1	time_course_lenti	D08_Esrp1	mmu.GRCm38_84	intermediate	D08_Esrp1	intermediate	#cb467e
time_course_retro_D00_Ctrl	time_course_retro	D00_Ctrl	mmu.GRCm38_84	differentiated	MEF	fibroblast	#479078
time_course_retro_D00_Esrp1	time_course_retro	D00_Esrp1	mmu.GRCm38_84	differentiated	MEF	fibroblast	#479078
time_course_retro_D00_Esrp2	time_course_retro	D00_Esrp2	mmu.GRCm38_84	differentiated	MEF	fibroblast	#479078
time_course_retro_D00_Luc	time_course_retro	D00_Luc	mmu.GRCm38_84	differentiated	MEF	fibroblast	#479078
time_course_retro_D00_Msi1	time_course_retro	D00_Msi1	mmu.GRCm38_84	differentiated	MEF	fibroblast	#479078
time_course_retro_D01_Ctrl	time_course_retro	D01_Ctrl	mmu.GRCm38_84	intermediate	D01_Ctrl	intermediate	#cb467e
time_course_retro_D01_Esrp1	time_course_retro	D01_Esrp1	mmu.GRCm38_84	intermediate	D01_Esrp1	intermediate	#cb467e
time_course_retro_D01_Esrp2	time_course_retro	D01_Esrp2	mmu.GRCm38_84	intermediate	D01_Esrp2	intermediate	#cb467e
time_course_retro_D01_Luc	time_course_retro	D01_Luc	mmu.GRCm38_84	intermediate	D01_Luc	intermediate	#cb467e
time_course_retro_D01_Msi1	time_course_retro	D01_Msi1	mmu.GRCm38_84	intermediate	D01_Msi1	intermediate	#cb467e
time_course_retro_D02_Ctrl	time_course_retro	D02_Ctrl	mmu.GRCm38_84	intermediate	D02_Ctrl	intermediate	#cb467e
time_course_retro_D02_Esrp1	time_course_retro	D02_Esrp1	mmu.GRCm38_84	intermediate	D02_Esrp1	intermediate	#cb467e
time_course_retro_D02_Esrp2	time_course_retro	D02_Esrp2	mmu.GRCm38_84	intermediate	D02_Esrp2	intermediate	#cb467e
time_course_retro_D02_Luc	time_course_retro	D02_Luc	mmu.GRCm38_84	intermediate	D02_Luc	intermediate	#cb467e
time_course_retro_D02_Msi1	time_course_retro	D02_Msi1	mmu.GRCm38_84	intermediate	D02_Msi1	intermediate	#cb467e
time_course_retro_D03_Ctrl	time_course_retro	D03_Ctrl	mmu.GRCm38_84	intermediate	D03_Ctrl	intermediate	#cb467e
