study	run	organism	strategy	path
SRP011318	SRR438467	Mus musculus	SINGLE	[[ROOT]]/rawData/sra/SRP011318/SRR438467.sra
SRP011318	SRR438468	Mus musculus	SINGLE	[[ROOT]]/rawData/sra/SRP011318/SRR438468.sra
SRP011318	SRR438469	Mus musculus	SINGLE	[[ROOT]]/rawData/sra/SRP011318/SRR438469.sra
SRP011318	SRR438470	Mus musculus	SINGLE	[[ROOT]]/rawData/sra/SRP011318/SRR438470.sra
SRP011318	SRR438471	Mus musculus	SINGLE	[[ROOT]]/rawData/sra/SRP011318/SRR438471.sra
SRP011318	SRR438472	Mus musculus	SINGLE	[[ROOT]]/rawData/sra/SRP011318/SRR438472.sra
SRP011318	SRR438473	Mus musculus	SINGLE	[[ROOT]]/rawData/sra/SRP011318/SRR438473.sra
SRP011318	SRR438474	Mus musculus	SINGLE	[[ROOT]]/rawData/sra/SRP011318/SRR438474.sra
SRP011318	SRR438475	Mus musculus	SINGLE	[[ROOT]]/rawData/sra/SRP011318/SRR438475.sra
SRP011318	SRR438476	Mus musculus	SINGLE	[[ROOT]]/rawData/sra/SRP011318/SRR438476.sra
SRP011318	SRR438477	Mus musculus	SINGLE	[[ROOT]]/rawData/sra/SRP011318/SRR438477.sra
SRP011318	SRR438478	Mus musculus	SINGLE	[[ROOT]]/rawData/sra/SRP011318/SRR438478.sra
SRP011318	SRR438479	Mus musculus	SINGLE	[[ROOT]]/rawData/sra/SRP011318/SRR438479.sra
SRP011318	SRR438480	Mus musculus	SINGLE	[[ROOT]]/rawData/sra/SRP011318/SRR438480.sra
SRP011318	SRR438481	Mus musculus	SINGLE	[[ROOT]]/rawData/sra/SRP011318/SRR438481.sra
SRP011318	SRR438482	Mus musculus	SINGLE	[[ROOT]]/rawData/sra/SRP011318/SRR438482.sra
SRP011318	SRR438483	Mus musculus	SINGLE	[[ROOT]]/rawData/sra/SRP011318/SRR438483.sra
SRP011318	SRR438484	Mus musculus	SINGLE	[[ROOT]]/rawData/sra/SRP011318/SRR438484.sra
SRP011318	SRR438485	Mus musculus	SINGLE	[[ROOT]]/rawData/sra/SRP011318/SRR438485.sra
SRP011318	SRR438486	Mus musculus	SINGLE	[[ROOT]]/rawData/sra/SRP011318/SRR438486.sra
SRP011318	SRR438487	Mus musculus	SINGLE	[[ROOT]]/rawData/sra/SRP011318/SRR438487.sra
SRP011318	SRR438488	Mus musculus	SINGLE	[[ROOT]]/rawData/sra/SRP011318/SRR438488.sra
SRP011318	SRR438489	Mus musculus	SINGLE	[[ROOT]]/rawData/sra/SRP011318/SRR438489.sra
SRP011318	SRR438490	Mus musculus	SINGLE	[[ROOT]]/rawData/sra/SRP011318/SRR438490.sra
SRP016568	SRR597884	Homo sapiens	SINGLE	[[ROOT]]/rawData/sra/SRP016568/SRR597884.sra
SRP016568	SRR597885	Homo sapiens	SINGLE	[[ROOT]]/rawData/sra/SRP016568/SRR597885.sra
SRP016568	SRR597886	Homo sapiens	SINGLE	[[ROOT]]/rawData/sra/SRP016568/SRR597886.sra
SRP016568	SRR597887	Homo sapiens	SINGLE	[[ROOT]]/rawData/sra/SRP016568/SRR597887.sra
SRP016568	SRR597888	Homo sapiens	SINGLE	[[ROOT]]/rawData/sra/SRP016568/SRR597888.sra
SRP016568	SRR597889	Homo sapiens	SINGLE	[[ROOT]]/rawData/sra/SRP016568/SRR597889.sra
SRP016568	SRR597890	Homo sapiens	SINGLE	[[ROOT]]/rawData/sra/SRP016568/SRR597890.sra
SRP016568	SRR597891	Homo sapiens	SINGLE	[[ROOT]]/rawData/sra/SRP016568/SRR597891.sra
SRP016568	SRR597892	Homo sapiens	SINGLE	[[ROOT]]/rawData/sra/SRP016568/SRR597892.sra
SRP016568	SRR597893	Homo sapiens	PAIRED	[[ROOT]]/rawData/sra/SRP016568/SRR597893.sra
SRP016568	SRR597894	Homo sapiens	PAIRED	[[ROOT]]/rawData/sra/SRP016568/SRR597894.sra
SRP016568	SRR597895	Homo sapiens	PAIRED	[[ROOT]]/rawData/sra/SRP016568/SRR597895.sra
SRP016568	SRR597896	Homo sapiens	SINGLE	[[ROOT]]/rawData/sra/SRP016568/SRR597896.sra
SRP016568	SRR597897	Homo sapiens	SINGLE	[[ROOT]]/rawData/sra/SRP016568/SRR597897.sra
SRP016568	SRR597898	Homo sapiens	SINGLE	[[ROOT]]/rawData/sra/SRP016568/SRR597898.sra
SRP016568	SRR597899	Homo sapiens	SINGLE	[[ROOT]]/rawData/sra/SRP016568/SRR597899.sra
SRP016568	SRR597900	Homo sapiens	PAIRED	[[ROOT]]/rawData/sra/SRP016568/SRR597900.sra
SRP016568	SRR597901	Homo sapiens	PAIRED	[[ROOT]]/rawData/sra/SRP016568/SRR597901.sra
SRP016568	SRR597902	Homo sapiens	PAIRED	[[ROOT]]/rawData/sra/SRP016568/SRR597902.sra
SRP016568	SRR597903	Homo sapiens	PAIRED	[[ROOT]]/rawData/sra/SRP016568/SRR597903.sra
SRP016568	SRR597904	Homo sapiens	PAIRED	[[ROOT]]/rawData/sra/SRP016568/SRR597904.sra
SRP016568	SRR597905	Homo sapiens	PAIRED	[[ROOT]]/rawData/sra/SRP016568/SRR597905.sra
SRP016568	SRR597906	Homo sapiens	PAIRED	[[ROOT]]/rawData/sra/SRP016568/SRR597906.sra
SRP016568	SRR597907	Homo sapiens	PAIRED	[[ROOT]]/rawData/sra/SRP016568/SRR597907.sra
SRP016568	SRR597908	Homo sapiens	PAIRED	[[ROOT]]/rawData/sra/SRP016568/SRR597908.sra
SRP016568	SRR597909	Homo sapiens	PAIRED	[[ROOT]]/rawData/sra/SRP016568/SRR597909.sra
SRP016568	SRR597910	Homo sapiens	PAIRED	[[ROOT]]/rawData/sra/SRP016568/SRR597910.sra
SRP016568	SRR597911	Homo sapiens	PAIRED	[[ROOT]]/rawData/sra/SRP016568/SRR597911.sra
SRP026281	SRR921478	Mus musculus	SINGLE	[[ROOT]]/rawData/sra/SRP026281/SRR921478.sra
SRP026281	SRR921479	Mus musculus	SINGLE	[[ROOT]]/rawData/sra/SRP026281/SRR921479.sra
SRP026281	SRR921484	Mus musculus	SINGLE	[[ROOT]]/rawData/sra/SRP026281/SRR921484.sra
SRP026281	SRR921485	Mus musculus	SINGLE	[[ROOT]]/rawData/sra/SRP026281/SRR921485.sra
SRP033561	SRR1044368	Mus musculus	SINGLE	[[ROOT]]/rawData/sra/SRP033561/SRR1044368.sra
SRP033561	SRR1044369	Mus musculus	SINGLE	[[ROOT]]/rawData/sra/SRP033561/SRR1044369.sra
SRP033561	SRR1044370	Mus musculus	SINGLE	[[ROOT]]/rawData/sra/SRP033561/SRR1044370.sra
SRP033561	SRR1044371	Mus musculus	SINGLE	[[ROOT]]/rawData/sra/SRP033561/SRR1044371.sra
SRP033561	SRR1044372	Mus musculus	SINGLE	[[ROOT]]/rawData/sra/SRP033561/SRR1044372.sra
SRP033561	SRR1044373	Mus musculus	SINGLE	[[ROOT]]/rawData/sra/SRP033561/SRR1044373.sra
SRP033561	SRR1044374	Mus musculus	SINGLE	[[ROOT]]/rawData/sra/SRP033561/SRR1044374.sra
SRP033561	SRR1044375	Mus musculus	SINGLE	[[ROOT]]/rawData/sra/SRP033561/SRR1044375.sra
SRP033569	SRR1044672	Homo sapiens	PAIRED	[[ROOT]]/rawData/sra/SRP033569/SRR1044672.sra
SRP033569	SRR1044673	Homo sapiens	PAIRED	[[ROOT]]/rawData/sra/SRP033569/SRR1044673.sra
SRP033569	SRR1044674	Homo sapiens	PAIRED	[[ROOT]]/rawData/sra/SRP033569/SRR1044674.sra
SRP033569	SRR1044675	Homo sapiens	PAIRED	[[ROOT]]/rawData/sra/SRP033569/SRR1044675.sra
