id	study_id	run_id	organism	type	descriptor	group
ERP014707_ERR1338001	ERP014707	ERR1338001	Homo_sapiens	Differentiated	neuron.Parkinson	ERP014707.Homo_sapiens.Differentiated.neuron.Parkinson
ERP014707_ERR1338002	ERP014707	ERR1338002	Homo_sapiens	Differentiated	neuron.Parkinson	ERP014707.Homo_sapiens.Differentiated.neuron.Parkinson
ERP014707_ERR1338003	ERP014707	ERR1338003	Homo_sapiens	Differentiated	neuron.Parkinson	ERP014707.Homo_sapiens.Differentiated.neuron.Parkinson
ERP014707_ERR1338004	ERP014707	ERR1338004	Homo_sapiens	Differentiated	neuron.Parkinson	ERP014707.Homo_sapiens.Differentiated.neuron.Parkinson
ERP014707_ERR1338005	ERP014707	ERR1338005	Homo_sapiens	Differentiated	neuron.Parkinson	ERP014707.Homo_sapiens.Differentiated.neuron.Parkinson
ERP014707_ERR1338006	ERP014707	ERR1338006	Homo_sapiens	Differentiated	neuron.Parkinson	ERP014707.Homo_sapiens.Differentiated.neuron.Parkinson
ERP014707_ERR1338007	ERP014707	ERR1338007	Homo_sapiens	Differentiated	neuron.WT	ERP014707.Homo_sapiens.Differentiated.neuron.WT
ERP014707_ERR1338008	ERP014707	ERR1338008	Homo_sapiens	Differentiated	neuron.WT	ERP014707.Homo_sapiens.Differentiated.neuron.WT
ERP014707_ERR1338009	ERP014707	ERR1338009	Homo_sapiens	Differentiated	neuron.WT	ERP014707.Homo_sapiens.Differentiated.neuron.WT
ERP014707_ERR1338010	ERP014707	ERR1338010	Homo_sapiens	Differentiated	neuron.WT	ERP014707.Homo_sapiens.Differentiated.neuron.WT
ERP014707_ERR1338011	ERP014707	ERR1338011	Homo_sapiens	Differentiated	neuron.WT	ERP014707.Homo_sapiens.Differentiated.neuron.WT
ERP014707_ERR1338012	ERP014707	ERR1338012	Homo_sapiens	Differentiated	neuron.WT	ERP014707.Homo_sapiens.Differentiated.neuron.WT
ERP014707_ERR1338013	ERP014707	ERR1338013	Homo_sapiens	Progenitor	NPC.Parkinson	ERP014707.Homo_sapiens.Progenitor.NPC.Parkinson
ERP014707_ERR1338014	ERP014707	ERR1338014	Homo_sapiens	Progenitor	NPC.Parkinson	ERP014707.Homo_sapiens.Progenitor.NPC.Parkinson
ERP014707_ERR1338015	ERP014707	ERR1338015	Homo_sapiens	Progenitor	NPC.Parkinson	ERP014707.Homo_sapiens.Progenitor.NPC.Parkinson
ERP014707_ERR1338016	ERP014707	ERR1338016	Homo_sapiens	Progenitor	NPC.Parkinson	ERP014707.Homo_sapiens.Progenitor.NPC.Parkinson
ERP014707_ERR1338017	ERP014707	ERR1338017	Homo_sapiens	Progenitor	NPC.Parkinson	ERP014707.Homo_sapiens.Progenitor.NPC.Parkinson
ERP014707_ERR1338018	ERP014707	ERR1338018	Homo_sapiens	Progenitor	NPC.Parkinson	ERP014707.Homo_sapiens.Progenitor.NPC.Parkinson
ERP014707_ERR1338019	ERP014707	ERR1338019	Homo_sapiens	Progenitor	NPC.WT	ERP014707.Homo_sapiens.Progenitor.NPC.WT
ERP014707_ERR1338020	ERP014707	ERR1338020	Homo_sapiens	Progenitor	NPC.WT	ERP014707.Homo_sapiens.Progenitor.NPC.WT
ERP014707_ERR1338021	ERP014707	ERR1338021	Homo_sapiens	Progenitor	NPC.WT	ERP014707.Homo_sapiens.Progenitor.NPC.WT
ERP014707_ERR1338022	ERP014707	ERR1338022	Homo_sapiens	Progenitor	NPC.WT	ERP014707.Homo_sapiens.Progenitor.NPC.WT
ERP014707_ERR1338023	ERP014707	ERR1338023	Homo_sapiens	Progenitor	NPC.WT	ERP014707.Homo_sapiens.Progenitor.NPC.WT
ERP014707_ERR1338024	ERP014707	ERR1338024	Homo_sapiens	Progenitor	NPC.WT	ERP014707.Homo_sapiens.Progenitor.NPC.WT
SRP011318_SRR438467	SRP011318	SRR438467	Mus_musculus	Pluripotent	iPSC_MEF	SRP011318.Mus_musculus.Pluripotent.iPSC_MEF
SRP011318_SRR438468	SRP011318	SRR438468	Mus_musculus	Pluripotent	iPSC_MEF	SRP011318.Mus_musculus.Pluripotent.iPSC_MEF
SRP011318_SRR438469	SRP011318	SRR438469	Mus_musculus	Pluripotent	iPSC_APC2	SRP011318.Mus_musculus.Pluripotent.iPSC_APC2
SRP011318_SRR438470	SRP011318	SRR438470	Mus_musculus	Pluripotent	iPSC_APC2	SRP011318.Mus_musculus.Pluripotent.iPSC_APC2
SRP011318_SRR438471	SRP011318	SRR438471	Mus_musculus	Pluripotent	iPSC_HPC	SRP011318.Mus_musculus.Pluripotent.iPSC_HPC
SRP011318_SRR438472	SRP011318	SRR438472	Mus_musculus	Pluripotent	iPSC_HPC	SRP011318.Mus_musculus.Pluripotent.iPSC_HPC
SRP011318_SRR438473	SRP011318	SRR438473	Mus_musculus	Pluripotent	iPSC_APC3	SRP011318.Mus_musculus.Pluripotent.iPSC_APC3
SRP011318_SRR438474	SRP011318	SRR438474	Mus_musculus	Pluripotent	iPSC_APC3	SRP011318.Mus_musculus.Pluripotent.iPSC_APC3
SRP011318_SRR438475	SRP011318	SRR438475	Mus_musculus	Pluripotent	iPSC_MEF	SRP011318.Mus_musculus.Pluripotent.iPSC_MEF
SRP011318_SRR438476	SRP011318	SRR438476	Mus_musculus	Pluripotent	iPSC_MEF	SRP011318.Mus_musculus.Pluripotent.iPSC_MEF
SRP011318_SRR438477	SRP011318	SRR438477	Mus_musculus	Pluripotent	iPSC_APC2	SRP011318.Mus_musculus.Pluripotent.iPSC_APC2
SRP011318_SRR438478	SRP011318	SRR438478	Mus_musculus	Pluripotent	iPSC_APC2	SRP011318.Mus_musculus.Pluripotent.iPSC_APC2
SRP011318_SRR438479	SRP011318	SRR438479	Mus_musculus	Pluripotent	iPSC_HPC	SRP011318.Mus_musculus.Pluripotent.iPSC_HPC
SRP011318_SRR438480	SRP011318	SRR438480	Mus_musculus	Pluripotent	iPSC_HPC	SRP011318.Mus_musculus.Pluripotent.iPSC_HPC
SRP011318_SRR438481	SRP011318	SRR438481	Mus_musculus	Pluripotent	iPSC_APC3	SRP011318.Mus_musculus.Pluripotent.iPSC_APC3
SRP011318_SRR438482	SRP011318	SRR438482	Mus_musculus	Pluripotent	iPSC_APC3	SRP011318.Mus_musculus.Pluripotent.iPSC_APC3
SRP011318_SRR438483	SRP011318	SRR438483	Mus_musculus	Differentiated	MEF	SRP011318.Mus_musculus.Differentiated.MEF
SRP011318_SRR438484	SRP011318	SRR438484	Mus_musculus	Differentiated	MEF	SRP011318.Mus_musculus.Differentiated.MEF
SRP011318_SRR438485	SRP011318	SRR438485	Mus_musculus	Differentiated	APC2	SRP011318.Mus_musculus.Differentiated.APC2
SRP011318_SRR438486	SRP011318	SRR438486	Mus_musculus	Differentiated	APC2	SRP011318.Mus_musculus.Differentiated.APC2
SRP011318_SRR438487	SRP011318	SRR438487	Mus_musculus	Differentiated	HPC	SRP011318.Mus_musculus.Differentiated.HPC
SRP011318_SRR438488	SRP011318	SRR438488	Mus_musculus	Differentiated	HPC	SRP011318.Mus_musculus.Differentiated.HPC
SRP011318_SRR438489	SRP011318	SRR438489	Mus_musculus	Differentiated	APC3	SRP011318.Mus_musculus.Differentiated.APC3
SRP011318_SRR438490	SRP011318	SRR438490	Mus_musculus	Differentiated	APC3	SRP011318.Mus_musculus.Differentiated.APC3
SRP016568_SRR597884	SRP016568	SRR597884	Homo_sapiens	Differentiated	foreskin_fibroblast	SRP016568.Homo_sapiens.Differentiated.foreskin_fibroblast
SRP016568_SRR597885	SRP016568	SRR597885	Homo_sapiens	Pluripotent	iPSC	SRP016568.Homo_sapiens.Pluripotent.iPSC
SRP016568_SRR597886	SRP016568	SRR597886	Homo_sapiens	Pluripotent	iPSC	SRP016568.Homo_sapiens.Pluripotent.iPSC
SRP016568_SRR597887	SRP016568	SRR597887	Homo_sapiens	Pluripotent	iPSC	SRP016568.Homo_sapiens.Pluripotent.iPSC
SRP016568_SRR597888	SRP016568	SRR597888	Homo_sapiens	Differentiated	foreskin_fibroblast	SRP016568.Homo_sapiens.Differentiated.foreskin_fibroblast
SRP016568_SRR597889	SRP016568	SRR597889	Homo_sapiens	Pluripotent	iPSC	SRP016568.Homo_sapiens.Pluripotent.iPSC
SRP016568_SRR597890	SRP016568	SRR597890	Homo_sapiens	Pluripotent	iPSC	SRP016568.Homo_sapiens.Pluripotent.iPSC
SRP016568_SRR597891	SRP016568	SRR597891	Homo_sapiens	Pluripotent	iPSC	SRP016568.Homo_sapiens.Pluripotent.iPSC
SRP016568_SRR597892	SRP016568	SRR597892	Homo_sapiens	Differentiated	foreskin_fibroblast	SRP016568.Homo_sapiens.Differentiated.foreskin_fibroblast
SRP016568_SRR597893	SRP016568	SRR597893	Homo_sapiens	Pluripotent	iPSC	SRP016568.Homo_sapiens.Pluripotent.iPSC
SRP016568_SRR597894	SRP016568	SRR597894	Homo_sapiens	Pluripotent	iPSC	SRP016568.Homo_sapiens.Pluripotent.iPSC
SRP016568_SRR597895	SRP016568	SRR597895	Homo_sapiens	Pluripotent	iPSC	SRP016568.Homo_sapiens.Pluripotent.iPSC
SRP016568_SRR597896	SRP016568	SRR597896	Homo_sapiens	Differentiated	foreskin_fibroblast	SRP016568.Homo_sapiens.Differentiated.foreskin_fibroblast
SRP016568_SRR597897	SRP016568	SRR597897	Homo_sapiens	Pluripotent	iPSC	SRP016568.Homo_sapiens.Pluripotent.iPSC
SRP016568_SRR597898	SRP016568	SRR597898	Homo_sapiens	Pluripotent	iPSC	SRP016568.Homo_sapiens.Pluripotent.iPSC
SRP016568_SRR597899	SRP016568	SRR597899	Homo_sapiens	Pluripotent	iPSC	SRP016568.Homo_sapiens.Pluripotent.iPSC
SRP016568_SRR597900	SRP016568	SRR597900	Homo_sapiens	Differentiated	foreskin_fibroblast	SRP016568.Homo_sapiens.Differentiated.foreskin_fibroblast
SRP016568_SRR597901	SRP016568	SRR597901	Homo_sapiens	Pluripotent	iPSC	SRP016568.Homo_sapiens.Pluripotent.iPSC
SRP016568_SRR597902	SRP016568	SRR597902	Homo_sapiens	Pluripotent	iPSC	SRP016568.Homo_sapiens.Pluripotent.iPSC
SRP016568_SRR597903	SRP016568	SRR597903	Homo_sapiens	Pluripotent	iPSC	SRP016568.Homo_sapiens.Pluripotent.iPSC
SRP016568_SRR597904	SRP016568	SRR597904	Homo_sapiens	Differentiated	foreskin_fibroblast	SRP016568.Homo_sapiens.Differentiated.foreskin_fibroblast
SRP016568_SRR597905	SRP016568	SRR597905	Homo_sapiens	Pluripotent	iPSC	SRP016568.Homo_sapiens.Pluripotent.iPSC
SRP016568_SRR597906	SRP016568	SRR597906	Homo_sapiens	Pluripotent	iPSC	SRP016568.Homo_sapiens.Pluripotent.iPSC
SRP016568_SRR597907	SRP016568	SRR597907	Homo_sapiens	Pluripotent	iPSC	SRP016568.Homo_sapiens.Pluripotent.iPSC
SRP016568_SRR597908	SRP016568	SRR597908	Homo_sapiens	Differentiated	foreskin_fibroblast	SRP016568.Homo_sapiens.Differentiated.foreskin_fibroblast
SRP016568_SRR597909	SRP016568	SRR597909	Homo_sapiens	Pluripotent	iPSC	SRP016568.Homo_sapiens.Pluripotent.iPSC
SRP016568_SRR597910	SRP016568	SRR597910	Homo_sapiens	Pluripotent	iPSC	SRP016568.Homo_sapiens.Pluripotent.iPSC
SRP016568_SRR597911	SRP016568	SRR597911	Homo_sapiens	Pluripotent	iPSC	SRP016568.Homo_sapiens.Pluripotent.iPSC
SRP017684_SRR640257	SRP017684	SRR640257	Homo_sapiens	Differentiated	neuron	SRP017684.Homo_sapiens.Differentiated.neuron
SRP017684_SRR640258	SRP017684	SRR640258	Homo_sapiens	Pluripotent	iPSC	SRP017684.Homo_sapiens.Pluripotent.iPSC
SRP017684_SRR640259	SRP017684	SRR640259	Homo_sapiens	Progenitor	NPC	SRP017684.Homo_sapiens.Progenitor.NPC
SRP017684_SRR950427	SRP017684	SRR950427	Homo_sapiens	Differentiated	neuron	SRP017684.Homo_sapiens.Differentiated.neuron
SRP017684_SRR950428	SRP017684	SRR950428	Homo_sapiens	Pluripotent	iPSC	SRP017684.Homo_sapiens.Pluripotent.iPSC
SRP017684_SRR950429	SRP017684	SRR950429	Homo_sapiens	Progenitor	NPC	SRP017684.Homo_sapiens.Progenitor.NPC
SRP026281_SRR921478	SRP026281	SRR921478	Mus_musculus	Differentiated	MEF	SRP026281.Mus_musculus.Differentiated.MEF
SRP026281_SRR921479	SRP026281	SRR921479	Mus_musculus	Differentiated	MEF	SRP026281.Mus_musculus.Differentiated.MEF
SRP026281_SRR921484	SRP026281	SRR921484	Mus_musculus	Progenitor	CiPS	SRP026281.Mus_musculus.Progenitor.CiPS
SRP026281_SRR921485	SRP026281	SRR921485	Mus_musculus	Progenitor	CiPS	SRP026281.Mus_musculus.Progenitor.CiPS
SRP033561_SRR1044368	SRP033561	SRR1044368	Mus_musculus	Differentiated	MEF_slow_bulk	SRP033561.Mus_musculus.Differentiated.MEF_slow_bulk
SRP033561_SRR1044369	SRP033561	SRR1044369	Mus_musculus	Differentiated	MEF_slow_bulk	SRP033561.Mus_musculus.Differentiated.MEF_slow_bulk
SRP033561_SRR1044370	SRP033561	SRR1044370	Mus_musculus	Differentiated	MEF_slow_bulk	SRP033561.Mus_musculus.Differentiated.MEF_slow_bulk
SRP033561_SRR1044371	SRP033561	SRR1044371	Mus_musculus	Differentiated	MEF_slow_bulk	SRP033561.Mus_musculus.Differentiated.MEF_slow_bulk
SRP033561_SRR1044372	SRP033561	SRR1044372	Mus_musculus	Pluripotent	iPSC_fast_bulk	SRP033561.Mus_musculus.Pluripotent.iPSC_fast_bulk
SRP033561_SRR1044373	SRP033561	SRR1044373	Mus_musculus	Pluripotent	iPSC_fast_bulk	SRP033561.Mus_musculus.Pluripotent.iPSC_fast_bulk
SRP033561_SRR1044374	SRP033561	SRR1044374	Mus_musculus	Pluripotent	iPSC_fast_bulk	SRP033561.Mus_musculus.Pluripotent.iPSC_fast_bulk
SRP033561_SRR1044375	SRP033561	SRR1044375	Mus_musculus	Pluripotent	iPSC_fast_bulk	SRP033561.Mus_musculus.Pluripotent.iPSC_fast_bulk
SRP033569_SRR1044672	SRP033569	SRR1044672	Homo_sapiens	Pluripotent	iPSC_Retro	SRP033569.Homo_sapiens.Pluripotent.iPSC_Retro
SRP033569_SRR1044673	SRP033569	SRR1044673	Homo_sapiens	Pluripotent	iPSC_Retro	SRP033569.Homo_sapiens.Pluripotent.iPSC_Retro
SRP033569_SRR1044674	SRP033569	SRR1044674	Homo_sapiens	Pluripotent	iPSC_Sendai	SRP033569.Homo_sapiens.Pluripotent.iPSC_Sendai
SRP033569_SRR1044675	SRP033569	SRR1044675	Homo_sapiens	Pluripotent	iPSC_Sendai	SRP033569.Homo_sapiens.Pluripotent.iPSC_Sendai
SRP033569_SRR1044676	SRP033569	SRR1044676	Homo_sapiens	Differentiated	fibroblast	SRP033569.Homo_sapiens.Differentiated.fibroblast
SRP033569_SRR1268172	SRP033569	SRR1268172	Homo_sapiens	Pluripotent	iPSC_Retro	SRP033569.Homo_sapiens.Pluripotent.iPSC_Retro
SRP033569_SRR1268173	SRP033569	SRR1268173	Homo_sapiens	Pluripotent	iPSC_Retro	SRP033569.Homo_sapiens.Pluripotent.iPSC_Retro
SRP033569_SRR1268174	SRP033569	SRR1268174	Homo_sapiens	Pluripotent	iPSC_Sendai	SRP033569.Homo_sapiens.Pluripotent.iPSC_Sendai
