study	run	organism	strategy	path
ERP014707	ERR1338001	Homo sapiens	SINGLE	/scicore/home/zavolan/kanitz/PROJECTS/SpliceFactorsReprogramming/rawData/sra_data/ERP014707/ERR1338001.sra
ERP014707	ERR1338002	Homo sapiens	SINGLE	/scicore/home/zavolan/kanitz/PROJECTS/SpliceFactorsReprogramming/rawData/sra_data/ERP014707/ERR1338002.sra
ERP014707	ERR1338003	Homo sapiens	SINGLE	/scicore/home/zavolan/kanitz/PROJECTS/SpliceFactorsReprogramming/rawData/sra_data/ERP014707/ERR1338003.sra
ERP014707	ERR1338004	Homo sapiens	SINGLE	/scicore/home/zavolan/kanitz/PROJECTS/SpliceFactorsReprogramming/rawData/sra_data/ERP014707/ERR1338004.sra
ERP014707	ERR1338005	Homo sapiens	SINGLE	/scicore/home/zavolan/kanitz/PROJECTS/SpliceFactorsReprogramming/rawData/sra_data/ERP014707/ERR1338005.sra
ERP014707	ERR1338006	Homo sapiens	SINGLE	/scicore/home/zavolan/kanitz/PROJECTS/SpliceFactorsReprogramming/rawData/sra_data/ERP014707/ERR1338006.sra
ERP014707	ERR1338007	Homo sapiens	SINGLE	/scicore/home/zavolan/kanitz/PROJECTS/SpliceFactorsReprogramming/rawData/sra_data/ERP014707/ERR1338007.sra
ERP014707	ERR1338008	Homo sapiens	SINGLE	/scicore/home/zavolan/kanitz/PROJECTS/SpliceFactorsReprogramming/rawData/sra_data/ERP014707/ERR1338008.sra
ERP014707	ERR1338009	Homo sapiens	SINGLE	/scicore/home/zavolan/kanitz/PROJECTS/SpliceFactorsReprogramming/rawData/sra_data/ERP014707/ERR1338009.sra
ERP014707	ERR1338010	Homo sapiens	SINGLE	/scicore/home/zavolan/kanitz/PROJECTS/SpliceFactorsReprogramming/rawData/sra_data/ERP014707/ERR1338010.sra
ERP014707	ERR1338011	Homo sapiens	SINGLE	/scicore/home/zavolan/kanitz/PROJECTS/SpliceFactorsReprogramming/rawData/sra_data/ERP014707/ERR1338011.sra
ERP014707	ERR1338012	Homo sapiens	SINGLE	/scicore/home/zavolan/kanitz/PROJECTS/SpliceFactorsReprogramming/rawData/sra_data/ERP014707/ERR1338012.sra
ERP014707	ERR1338013	Homo sapiens	SINGLE	/scicore/home/zavolan/kanitz/PROJECTS/SpliceFactorsReprogramming/rawData/sra_data/ERP014707/ERR1338013.sra
ERP014707	ERR1338014	Homo sapiens	SINGLE	/scicore/home/zavolan/kanitz/PROJECTS/SpliceFactorsReprogramming/rawData/sra_data/ERP014707/ERR1338014.sra
ERP014707	ERR1338015	Homo sapiens	SINGLE	/scicore/home/zavolan/kanitz/PROJECTS/SpliceFactorsReprogramming/rawData/sra_data/ERP014707/ERR1338015.sra
ERP014707	ERR1338016	Homo sapiens	SINGLE	/scicore/home/zavolan/kanitz/PROJECTS/SpliceFactorsReprogramming/rawData/sra_data/ERP014707/ERR1338016.sra
ERP014707	ERR1338017	Homo sapiens	SINGLE	/scicore/home/zavolan/kanitz/PROJECTS/SpliceFactorsReprogramming/rawData/sra_data/ERP014707/ERR1338017.sra
ERP014707	ERR1338018	Homo sapiens	SINGLE	/scicore/home/zavolan/kanitz/PROJECTS/SpliceFactorsReprogramming/rawData/sra_data/ERP014707/ERR1338018.sra
ERP014707	ERR1338019	Homo sapiens	SINGLE	/scicore/home/zavolan/kanitz/PROJECTS/SpliceFactorsReprogramming/rawData/sra_data/ERP014707/ERR1338019.sra
ERP014707	ERR1338020	Homo sapiens	SINGLE	/scicore/home/zavolan/kanitz/PROJECTS/SpliceFactorsReprogramming/rawData/sra_data/ERP014707/ERR1338020.sra
ERP014707	ERR1338021	Homo sapiens	SINGLE	/scicore/home/zavolan/kanitz/PROJECTS/SpliceFactorsReprogramming/rawData/sra_data/ERP014707/ERR1338021.sra
ERP014707	ERR1338022	Homo sapiens	SINGLE	/scicore/home/zavolan/kanitz/PROJECTS/SpliceFactorsReprogramming/rawData/sra_data/ERP014707/ERR1338022.sra
ERP014707	ERR1338023	Homo sapiens	SINGLE	/scicore/home/zavolan/kanitz/PROJECTS/SpliceFactorsReprogramming/rawData/sra_data/ERP014707/ERR1338023.sra
ERP014707	ERR1338024	Homo sapiens	SINGLE	/scicore/home/zavolan/kanitz/PROJECTS/SpliceFactorsReprogramming/rawData/sra_data/ERP014707/ERR1338024.sra
ERP014707	ERR1338025	Homo sapiens	PAIRED	/scicore/home/zavolan/kanitz/PROJECTS/SpliceFactorsReprogramming/rawData/sra_data/ERP014707/ERR1338025.sra
